id,Title,authorFirst,authorLast,Price,Avail,Cover,Condition,ImageURL,Tags,createdAt,updatedAt
31,The Power of Others,Michael,Bond,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/41LTqQORf9L._SX324_BO1,204,203,200_.jpg",psychology,6/2/2019 21:12,6/2/2019 21:12
32,Radical Acceptance,Tara,Brach,5,0,soft,,https://images-na.ssl-images-amazon.com/images/I/61O5gqgXH9L.jpg,psychology,6/2/2019 21:12,6/2/2019 21:12
33,The Disease to Please,Harriet,Braiker,5,0,soft,,https://images-na.ssl-images-amazon.com/images/I/51g5HRwTPVL.jpg,psychology,6/2/2019 21:12,6/2/2019 21:12
34,Six Pillars of Self-Esteem,Nathaniel,Branden,5,0,soft,,https://images-na.ssl-images-amazon.com/images/I/91V6ecz6GML.jpg,psychology,6/2/2019 21:12,6/2/2019 21:12
35,One Click,Richard,Brandt,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/415xQDlEREL._SX355_BO1,204,203,200_.jpg",business,6/2/2019 21:12,6/2/2019 21:12
36,"Screw It, Let's Do It!",Richard,Branson,5,0,soft,,"https://res.cloudinary.com/www-virgin-com/w_400,c_scale,dpr_3.0,f_auto,fl_lossy,q_auto/virgin-com-prod/sites/virgin.com/files/Books/Screwit-325x500.jpg","business, biography",6/2/2019 21:12,6/2/2019 21:12
37,Losing My Virginity,Richard,Branson,5,0,soft,,https://images-na.ssl-images-amazon.com/images/I/91226J51nmL.jpg,"business, biography",6/2/2019 21:12,6/2/2019 21:12
38,Top Dog,Po,Bronson,5,0,hard,,"https://images-na.ssl-images-amazon.com/images/I/51K0KIg1rJL._SX323_BO1,204,203,200_.jpg",selfhelp,6/2/2019 21:12,6/2/2019 21:12
39,Daring Greatly,Brene,Brown,5,0,soft,,https://images-na.ssl-images-amazon.com/images/I/916RK2K817L.jpg,"selfhelp, psychology",6/2/2019 21:12,6/2/2019 21:12
40,A Few Lessons for Investors and Managers,Warren,Buffett,5,0,hard,,https://images-na.ssl-images-amazon.com/images/I/81ki7FfFpwL.jpg,"business, selfhelp",6/2/2019 21:12,6/2/2019 21:12
41,The Motivation Manifesto,Brendon,Burchard,5,0,hard,,https://images-na.ssl-images-amazon.com/images/I/81-WBC%2Bx0jL.jpg,selfhelp,6/2/2019 21:12,6/2/2019 21:12
42,The Art of Persuasion,Bob,Burg,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/51E28XvpxSL._SX322_BO1,204,203,200_.jpg","selfhelp, social",6/2/2019 21:12,6/2/2019 21:12
43,The Go-Giver,Bob,Burg,5,0,hard,,https://images-na.ssl-images-amazon.com/images/I/81L9YSR1qYL.jpg,selfhelp,6/2/2019 21:12,6/2/2019 21:12
44,Intimate Connections,David,Burns,5,0,soft,,https://images-na.ssl-images-amazon.com/images/I/81--AKwSBSL.jpg,social,6/2/2019 21:12,6/2/2019 21:12
45,Overcoming Social Anxiety and Shyness,Gillian,Butler,5,0,soft,,https://images-na.ssl-images-amazon.com/images/I/71mjA2VxNvL.jpg,"social, selfhelp",6/2/2019 21:12,6/2/2019 21:12
46,The Charisma Myth,Olivia,Cabane,5,0,soft,,https://images-na.ssl-images-amazon.com/images/I/81DNOY393kL.jpg,"social, selfhelp",6/2/2019 21:12,6/2/2019 21:12
47,I Dare Me,LuAnn,Cain,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/41ZaJ6Z1h%2BL._SX329_BO1,204,203,200_.jpg",selfhelp,6/2/2019 21:12,6/2/2019 21:12
48,Quiet,Susan,Cain,5,0,soft,,https://images-na.ssl-images-amazon.com/images/I/81vOO4hRh0L.jpg,"selfhelp, psychology",6/2/2019 21:12,6/2/2019 21:12
49,Winners,Alastair,Campbell,5,0,hard,,"https://images-na.ssl-images-amazon.com/images/I/51mLHnIfQ1L._SX331_BO1,204,203,200_.jpg",,6/2/2019 21:12,6/2/2019 21:12
50,Timing the Real Estate Market,Robert,Campbell,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/51MAKCNDJML._SX317_BO1,204,203,200_.jpg",real estate,6/2/2019 21:12,6/2/2019 21:12
51,Sell or Be Sold,Grant,Cardone,5,0,hard,,"https://images-na.ssl-images-amazon.com/images/I/41jVx9H8-QL._SX322_BO1,204,203,200_.jpg","selling, selfhelp",6/2/2019 21:12,6/2/2019 21:12
52,The 10X Rule,Grant,Cardone,5,0,hard,,"https://images-na.ssl-images-amazon.com/images/I/41wkGWTxo7L._SX329_BO1,204,203,200_.jpg","selling, selfhelp",6/2/2019 21:12,6/2/2019 21:12
53,"If You're Not First, You're Last",Grant,Cardone,5,0,hard,,"https://images-na.ssl-images-amazon.com/images/I/519I-YELQvL._SX330_BO1,204,203,200_.jpg","selling, selfhelp",6/2/2019 21:12,6/2/2019 21:12
54,The Closer's Survival Guide,Grant,Cardone,5,0,soft,,https://images-na.ssl-images-amazon.com/images/I/51vqO1dLeFL.jpg,"selling, selfhelp",6/2/2019 21:12,6/2/2019 21:12
55,Be Obsessed or Be Average,Grant,Cardone,5,0,hard,,https://images-na.ssl-images-amazon.com/images/I/81SbC-kLmXL.jpg,"selling, selfhelp",6/2/2019 21:12,6/2/2019 21:12
56,The Millionaire Booklet,Grant,Cardone,5,0,soft,,http://onestoppeshoppe.com/wp/wp-content/uploads/2016/08/The-millionaire-Booklet1.jpg,"selling, selfhelp",6/2/2019 21:12,6/2/2019 21:12
57,How to Win Friends and Influence People,Dale,Carnegie,5,0,hard,,https://dynamic.indigoimages.ca/books/0671027034.jpg?altimages=false&scaleup=true&maxheight=515&width=380&quality=85&sale=38&lang=en,"social, selfhelp",6/2/2019 21:12,6/2/2019 21:12
58,How to Stop Worrying and Start Living,Dale,Carnegie,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/51StUBlb0rL._SX302_BO1,204,203,200_.jpg",selfhelp,6/2/2019 21:12,6/2/2019 21:12
59,How to Enjoy Your Life and Your Job,Dale,Carnegie,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/51WMQadC%2BxL._SX288_BO1,204,203,200_.jpg",selfhelp,6/2/2019 21:12,6/2/2019 21:12
60,The Power Broker,Robert,Caro,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/51%2BWEx%2BYLHL._SX326_BO1,204,203,200_.jpg",,6/2/2019 21:12,6/2/2019 21:12
61,One Nation,Ben,Carson,5,0,soft,,https://images-na.ssl-images-amazon.com/images/I/A1Kn85ymAjL.jpg,political,6/2/2019 21:12,6/2/2019 21:12
62,The Invisible Gorilla,Christopher,Chabris,5,0,soft,,https://images-na.ssl-images-amazon.com/images/I/71-AZNnx6JL.jpg,psychology,6/2/2019 21:12,6/2/2019 21:12
63,100 Ways to Motivate Others,Steve,Chandler,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/514zLSd4EyL._SX316_BO1,204,203,200_.jpg",selfhelp,6/2/2019 21:12,6/2/2019 21:12
64,100 Ways to Motivate Yourself,Steve,Chandler,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/51G3sGOrBOL._AC_UL320_SR204,320_.jpg",selfhelp,6/2/2019 21:12,6/2/2019 21:12
65,The 5 Love Languages,Gary,Chapman,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/51ItBwnbJ6L._SX322_BO1,204,203,200_.jpg","social, selfhelp, psychology",6/2/2019 21:12,6/2/2019 21:12
66,The Warren Buffett Philosophy of Investment,Elena,Chirkova,5,0,hard,,"https://images-na.ssl-images-amazon.com/images/I/51Dic1Ve1lL._SX329_BO1,204,203,200_.jpg",money,6/2/2019 21:12,6/2/2019 21:12
67,Influence - the Psychology of Persuasion,Robert,Cialdini,5,1,soft,,"https://images-na.ssl-images-amazon.com/images/I/512-B-1yXuL._SX331_BO1,204,203,200_.jpg",psychology,6/2/2019 21:12,6/2/2019 21:12
68,Hard Choices,Hillary,Clinton,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/41pfFP6UxDL._SX332_BO1,204,203,200_.jpg","political, biography",6/2/2019 21:12,6/2/2019 21:12
69,Spinach in Your Boss's Teeth,Arden,Clise,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/41sn33rTXWL._SX322_BO1,204,203,200_.jpg",selfhelp,6/2/2019 21:12,6/2/2019 21:12
70,The Fish That Ate the Whale,Rich,Cohen,5,1,soft,,https://images.gr-assets.com/books/1327473440l/13166586.jpg,,6/2/2019 21:12,6/2/2019 21:12
71,Good to Great,Jim,Collins,5,0,hard,,https://images-na.ssl-images-amazon.com/images/I/81cOrVseOYL.jpg,"psychology, business",6/2/2019 21:12,6/2/2019 21:12
72,The Analects,Confucius,,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/51gMMmTmUAL._SX330_BO1,204,203,200_.jpg",philosophy,6/2/2019 21:12,6/2/2019 21:12
73,Commercial Real Estate Investing for Dummies,Peter,Conti,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/61d6AxOMCrL._SX258_BO1,204,203,200_.jpg","money, real estate",6/2/2019 21:12,6/2/2019 21:12
74,The Virtual Presenter's Playbook,Roger,Courville,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/41v--NwMYPL._SX324_BO1,204,203,200_.jpg",speaking,6/2/2019 21:12,6/2/2019 21:12
75,The 7 Habits of Highly Effective People,Stephen,Covey,5,0,soft,,https://images-na.ssl-images-amazon.com/images/I/71duvzVo8nL.jpg,selfhelp,6/2/2019 21:12,6/2/2019 21:12
76,Flow,Mihaly,Csikszentmihalyi,5,0,soft,,https://images-na.ssl-images-amazon.com/images/I/61pyXLUkB4L.jpg,selfhelp,6/2/2019 21:12,6/2/2019 21:12
77,How to Win at the Sport of Business,Mark,Cuban,5,1,soft,,https://images-na.ssl-images-amazon.com/images/I/51-s9Jx9mzL.jpg,business,6/2/2019 21:12,6/2/2019 21:12
78,The Ultimate Blueprint for an Insanely Successful Business,Keith,Cunningham,5,0,soft,,https://images-na.ssl-images-amazon.com/images/I/41G%2B8x3-kjL.jpg,business,6/2/2019 21:12,6/2/2019 21:12
